HiringAgency,jobLink,jobNum,Job ID,Business Title,Civil Service Title,Title Classification,Job Category,Career Level,Work Location,Division/Work Unit,# of Positions,Title Code No,Level,Proposed Salary Range,POSTING DATE,POST UNTIL
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455932&PostingSeq=1,455932,455932,Network Engineer,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,8298A,00,"$ 58,700.00 - $ 95,000.00 (Annual)",2020-12-31,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455930&PostingSeq=1,455930,455930,Senior Cloud Engineer,SENIOR IT ARCHITECT,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,95711,00,"$145,000.00 (Annual)",2020-12-31,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455915&PostingSeq=1,455915,455915,"Senior Director, Enterprise UNIX/LINUX/AIX",TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,2 Metro Tech,Not Listed,1,82984,M3,"$ 72,038.00 - $160,000.00 (Annual)",2020-12-31,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455947&PostingSeq=1,455947,455947,Senior Mainframe Architect Manager,SENIOR IT ARCHITECT,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,95711,00,"$160,000.00 (Annual)",2020-12-31,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455945&PostingSeq=1,455945,455945,"Senior Systems Engineer, Lead z/OS Communications Server Specialist",SENIOR IT ARCHITECT,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,95711,00,"$160,000.00 (Annual)",2020-12-31,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455979&PostingSeq=1,455979,455979,Community Coordinator,COMMUNITY COORDINATOR,Non-Competitive,"Administration & Human Resources, Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,COMMISSIONER'S OFFICE,1,56058,00,"$ 54,100.00 - $ 83,981.00 (Annual)",2020-12-29,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455429&PostingSeq=1,455429,455429,"Executive Director, Enterprise Systems Services",TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,2 Metro Tech,Not Listed,1,82984,M4,"$ 80,931.00 - $185,000.00 (Annual)",2020-12-28,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455724&PostingSeq=1,455724,455724,Director of Broadband Technology,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,255 Greenwich Street,MOTI-Mayor's Off Tech & Innova,1,82984,M3,"$ 72,038.00 - $150,000.00 (Annual)",2020-12-22,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=452456&PostingSeq=1,452456,452456,Director of Data,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,255 Greenwich Street,MOTI-Mayor's Off Tech & Innova,1,82984,M3,"$ 72,038.00 - $150,000.00 (Annual)",2020-12-22,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=452462&PostingSeq=1,452462,452462,Director of Digital Inclusion and Partnerships,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,15 Metrotech,MOTI-Mayor's Off Tech & Innova,1,82984,M3,"$ 72,038.00 - $150,000.00 (Annual)",2020-12-22,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455142&PostingSeq=1,455142,455142,"Assistant Director, Public Safety PMO",TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,2 Metro Tech,Not Listed,1,82984,M3,"$ 72,038.00 - $150,000.00 (Annual)",2020-12-15,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455150&PostingSeq=1,455150,455150,Public Safety Project Manager,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation",Manager,2 Metro Tech,Not Listed,1,82984,M3,"$ 72,038.00 - $135,000.00 (Annual)",2020-12-15,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=448112&PostingSeq=1,448112,448112,Cyber Associate Security Engineer,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,2,13633,01,"$ 54,281.00 - $ 77,250.00 (Annual)",2020-10-28,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445725&PostingSeq=1,445725,445725,Cyber Security Operations Center (SOC) Lead,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,1,95622,00,"$165,000.00 (Annual)",2020-09-29,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445839&PostingSeq=1,445839,445839,Director of Analytics,CITY RESEARCH SCIENTIST,Non-Competitive,"Technology, Data & Innovation",Executive,2 Metro Tech,COMMISSIONER'S OFFICE,1,21744,4A,"$ 94,283.00 - $122,290.00 (Annual)",2020-09-24,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445734&PostingSeq=1,445734,445734,Cyber Associate Application Security Engineer.,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,1,13633,01,"$ 54,281.00 - $ 75,000.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445309&PostingSeq=1,445309,445309,Cyber Audit Analyst,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,2,13633,02,"$ 78,795.00 - $113,300.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445693&PostingSeq=1,445693,445693,Cyber Continuity of Operations (COOP) Supervisor,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,1,95622,00,"$100,000.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445715&PostingSeq=1,445715,445715,Cyber Engagement Manager,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,2,13633,02,"$ 78,795.00 - $110,000.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445338&PostingSeq=1,445338,445338,Cyber Senior Threat Anaylst,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,5,95622,00,"$120,000.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445329&PostingSeq=1,445329,445329,Cyber Strategic Intelligence Anaylst,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,2,13633,02,"$ 78,795.00 - $113,300.00 (Annual)",2020-09-23,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=445669&PostingSeq=1,445669,445669,Cyber Associate Data Engineer,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),80 Maiden Lane,Not Listed,2,13633,01,"$ 54,281.00 - $ 75,000.00 (Annual)",2020-09-22,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436911&PostingSeq=1,436911,436911,Cyber Industrial Controls Analyst,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,2,13633,02,"$ 78,795.00 - $110,000.00 (Annual)",2020-03-09,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436896&PostingSeq=1,436896,436896,Cyber Senior Audit Analyst,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,13633,02,"$ 78,795.00 - $110,000.00 (Annual)",2020-03-09,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433913&PostingSeq=1,433913,433913,Director of Cyber Policy,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,95622,00,"$160,000.00 (Annual)",2020-03-03,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435687&PostingSeq=1,435687,435687,Public Safety Radio System Support Specialist,SUPERVISOR OF RADIO AND TELEVI,Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,90436,02,"$ 67,581.00 - $ 82,672.00 (Annual)",2020-03-02,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435652&PostingSeq=1,435652,435652,Public Safety Radio Operator,RADIO AND TELEVISION OPERATOR,Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,1,90411,03,"$ 47,948.00 - $ 60,000.00 (Annual)",2020-02-27,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435497&PostingSeq=1,435497,435497,Public Safety Senior Monitoring Engineer,IT AUTOMATION AND MONITORING E,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),2 Metro Tech,Not Listed,2,95712,00,"$ 75,000.00 - $110,000.00 (Annual)",2020-02-26,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430032&PostingSeq=1,430032,430032,"Senior Director, Site Reliability Engineering",IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,95622,00,"$ 75,000.00 - $180,000.00 (Annual)",2020-01-24,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428700&PostingSeq=1,428700,428700,Senior Vulnerability Specialist,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,95622,00,"$135,000.00 (Annual)",2020-01-14,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423428&PostingSeq=1,423428,423428,CERT Specialist,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,06798,00,"$ 75,000.00 - $150,000.00 (Annual)",2019-11-19,3020-01-01
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416549&PostingSeq=1,416549,416549,Cyber Senior Audit Manager,Not Listed,Not Listed,"Technology, Data & Innovation",Experienced (non-manager),255 Greenwich Street,Not Listed,1,06798,00,"$ 75,000.00 - $135,000.00 (Annual)",2019-10-16,3020-01-01
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=456046&PostingSeq=1,456046,456046,Assistant Inspector General - Investigations,SPECIAL INVESTIGATOR,Exempt,"Communications & Intergovernmental Affairs, Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,2,31130,00,"$ 70,000.00 - $ 80,000.00 (Annual)",2021-01-06,2021-04-06
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=456065&PostingSeq=1,456065,456065,Assistant Inspector General - Policy,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,03,"$ 70,000.00 - $ 80,000.00 (Annual)",2021-01-06,2021-04-06
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455794&PostingSeq=1,455794,455794,Data Analyst,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,3,31143,01,"$ 55,000.00 - $ 60,000.00 (Annual)",2020-12-24,2021-03-24
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=455796&PostingSeq=1,455796,455796,Director of Data Analytics,SPECIAL INVESTIGATOR,Exempt,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31130,00,"$ 95,000.00 - $110,000.00 (Annual)",2020-12-23,2021-03-23
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=454777&PostingSeq=1,454777,454777,Deputy Inspector General,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",Manager,Not Listed,Not Listed,1,31144,M1,"$ 58,700.00 - $101,631.00 (Annual)",2020-12-03,2021-04-02
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=453153&PostingSeq=1,453153,453153,Deputy Inspector General,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement",Manager,Not Listed,Not Listed,1,31144,M1,"$ 63,301.00 - $101,631.00 (Annual)",2020-11-12,2021-02-10
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=450998&PostingSeq=1,450998,450998,Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,01,"$ 45,113.00 - $ 50,000.00 (Annual)",2020-10-24,2021-02-21
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=444520&PostingSeq=1,444520,444520,Director of Outreach,SPECIAL INVESTIGATOR,Exempt,"Communications & Intergovernmental Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31130,00,"$ 75,000.00 - $ 96,000.00 (Annual)",2020-09-14,2021-01-12
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439792&PostingSeq=1,439792,439792,Inspector General,INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement",Manager,Not Listed,Not Listed,1,31145,M4,"$120,000.00 - $144,626.00 (Annual)",2020-04-24,2021-03-31
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436518&PostingSeq=1,436518,436518,Deputy Inspector General,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement",Manager,Not Listed,Not Listed,1,31144,M1,"$ 63,301.00 - $ 96,820.00 (Annual)",2020-03-10,2021-03-01
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435571&PostingSeq=1,435571,435571,Data Analyst,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,02,"$ 53,956.00 - $ 60,558.00 (Annual)",2020-02-27,2021-07-06
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=434506&PostingSeq=1,434506,434506,Investigative Auditor,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,01,"$ 50,000.00 - $ 54,446.00 (Annual)",2020-02-21,2021-03-01
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431051&PostingSeq=1,431051,431051,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,01,"$ 45,113.00 - $ 56,500.00 (Annual)",2020-01-29,2021-07-06
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=427472&PostingSeq=1,427472,427472,Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,01,"$ 50,000.00 - $ 55,055.00 (Annual)",2020-01-02,2021-01-31
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424990&PostingSeq=1,424990,424990,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement, Social Services",Experienced (non-manager),Not Listed,Not Listed,1,31143,01,"$ 50,000.00 - $ 55,000.00 (Annual)",2019-12-05,2021-03-01
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=420767&PostingSeq=1,420767,420767,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement",Experienced (non-manager),Not Listed,Not Listed,1,31143,02,"$ 53,956.00 - $ 60,353.00 (Annual)",2019-10-29,2021-07-06
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=405778&PostingSeq=1,405778,405778,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement, Social Services",Entry-Level,80 Maiden Lane,Not Listed,1,31143,01,"$ 43,799.00 - $ 55,000.00 (Annual)",2019-08-13,2021-01-31
