HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=434052&PostingSeq=1&,434052,434052,1,"Assistant Press Secretary, OEA/Bureau of Public Affairs",56058,00,COMMUNITY COORDINATOR,Non-Competitive,"Constituent Services & Community Programs, Health","$ 54,100.00 - $ 70,486.20 (Annual)",Experienced (non-manager),42-09 28th Street,Intergovernmental Affairs,02/25/2020,08/30/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435040&PostingSeq=1&,435040,435040,1,"Field Doctor, Bureau of School Health",53040,01,CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,$     73.37 - $     78.59 (Hourly),Experienced (non-manager),"1 Court Square, Queens",SH Medical,02/25/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435204&PostingSeq=1&,435204,435204,1,"Supervising Nurse, Bureau of School Health",51011,02,PUBLIC HEALTH NURSE,Competitive,Health,"$ 79,039.00 - $ 79,039.00 (Annual)",Experienced (non-manager),30-48 Linden Place,SH Nursing Services & Prof Dev,02/25/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435302&PostingSeq=1&,435302,435302,1,"Supervising Nurse, Bureau of School Health",51011,03,PUBLIC HEALTH NURSE,Competitive,Health,"$ 84,252.00 - $ 84,252.00 (Annual)",Experienced (non-manager),160 West 100Th Street Ny,SH Nursing Services & Prof Dev,02/25/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=434354&PostingSeq=1&,434354,434354,1,"Early Intervention Official Designee, Bureau of Early Intervention",83052,01,SR HEALTHCARE PROG PLAN ANLYST,Non-Competitive,Health,"$ 52,712.00 - $ 65,200.00 (Annual)",Experienced (non-manager),"42 Broadway, N.Y.",Early Intervention,02/24/2020,08/18/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433926&PostingSeq=1&,433926,433926,1,Employee Relations Analyst,13368,02,LABOR RELATIONS ANALYST,Competitive,Administration & Human Resources,"$ 67,493.00 - $ 82,298.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Admin,02/19/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431760&PostingSeq=1&,431760,431760,1,"Director of Payroll Compliance Unit, Bureau of Controller",40510,02,ACCOUNTANT,Competitive,Health,"$ 56,013.00 - $ 89,610.00 (Annual)",Experienced (non-manager),42-09 28th Street,Payroll,02/13/2020,08/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432505&PostingSeq=1&,432505,432505,1,"Assistant Counsel, Forensic Laboratories",30087,03,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 82,137.00 - $107,032.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Admin,02/10/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432735&PostingSeq=1&,432735,432735,1,"General Counsel,  Office of General Counsel",95005,M6,EXECUTIVE AGENCY COUNSEL,Non-Competitive,"Health, Legal Affairs","$ 97,830.00 - $231,974.00 (Annual)",Executive,42-09 28th Street,Legal Affairs,02/10/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430608&PostingSeq=1&,430608,430608,1,"Fiscal Optimization Analyst, Office of the Agency Chief Contracting Officer",40910,03,ECONOMIST,Competitive,"Finance, Accounting, & Procurement, Health","$ 59,422.00 - $ 81,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,Acco/Contracts,02/04/2020,07/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431529&PostingSeq=1&,431529,431529,1,"Assistant Commissioner, Mental Hygiene/Bureau of Administration",10026,M4,ADMINISTRATIVE STAFF ANALYST (,Competitive,Health,"$ 80,931.00 - $160,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,MHy Administration,02/03/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431266&PostingSeq=1&,431266,431266,1,"Health Promoter, Center for Health Equity and Community Wellness/Bureau of Brooklyn Neighborhood Health",56057,00,COMMUNITY ASSOCIATE,Non-Competitive,Health,"$ 38,333.00 - $ 54,000.00 (Annual)",Experienced (non-manager),"259 Bristol St., Brooklyn",CHECW - BKLYN.NEGHBHD HLTH.,02/03/2020,08/30/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430982&PostingSeq=1&,430982,430982,1,"Payment Analyst, Bureau of Controller",40510,01,ACCOUNTANT,Competitive,"Finance, Accounting, & Procurement, Health","$ 50,217.00 - $ 62,370.00 (Annual)",Experienced (non-manager),42-09 28th Street,Fiscal Management,01/30/2020,09/08/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430648&PostingSeq=1&,430648,430648,1,"NFP Home Nurse Visitor,  Bureau of Maternal Infant and Reproductive Health",06776,00,FAMILY PUB HEALTH NURSE (HMH),Pending Classification,Health,"$ 88,780.00 - $ 88,780.00 (Annual)",Experienced (non-manager),90-27 Parsons Boulevard,MIRH Nurse Family Partnership,01/28/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430705&PostingSeq=1&,430705,430705,1,"X-Ray Technician, Bureau of Tuberculosis Control",51310,02,X-RAY TECHNICIAN,Competitive,Health,"$ 52,185.00 - $ 60,312.00 (Annual)",Experienced (non-manager),NYC - All Boroughs,TB Clinic Operations,01/28/2020,07/29/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430527&PostingSeq=1&,430527,430527,1,Researcher,21744,01,CITY RESEARCH SCIENTIST,Non-Competitive,Health,"$ 64,140.00 - $ 64,140.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-DNA,01/27/2020,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=427226&PostingSeq=1&,427226,427226,1,"Supervising Public Health Nurse, Bureau of School Health/ SH Nursing Services & Prof Dev",51011,03,PUBLIC HEALTH NURSE,Competitive,Health,"$ 84,252.00 - $ 84,252.00 (Annual)",Experienced (non-manager),"259 Bristol St., Brooklyn",SH Nursing Services & Prof Dev,12/30/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426161&PostingSeq=1&,426161,426161,1,"Policy Analyst, Bureau of Early Intervention",1002A,00,ADMINISTRATIVE STAFF ANALYST (,Competitive,Health,"$ 62,862.00 - $ 75,000.00 (Annual)",Experienced (non-manager),42-09 28th Street,Early Intervention,12/26/2019,09/14/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426054&PostingSeq=1&,426054,426054,1,"Early Intervention Official Designee, Bureau of Early Intervention",83052,01,SR HEALTHCARE PROG PLAN ANLYST,Non-Competitive,"Health, Social Services","$ 52,712.00 - $ 64,800.00 (Annual)",Experienced (non-manager),42-09 28th Street,Early Intervention,12/19/2019,07/20/2020
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426335&PostingSeq=1&,426335,426335,1,"Home Nurse Visitor,  Bureau of Maternal Infant and Reproductive Health",06776,00,FAMILY PUB HEALTH NURSE (HMH),Pending Classification,Health,"$ 88,780.00 - $ 88,780.00 (Annual)",Experienced (non-manager),1932 Arthur Ave 2Nd Flr Bronx,MIRH Newborn Home Visiting,12/17/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=422995&PostingSeq=1&,422995,422995,3,Criminalist II,21849,02,CRIMINALIST,Non-Competitive,Health,"$ 65,934.00 - $ 65,934.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-DNA,11/18/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=422123&PostingSeq=1&,422123,422123,1,"Assistant Counsel, Forensic Laboratories",30087,02,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 71,423.00 - $107,032.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Admin,11/07/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=420597&PostingSeq=1&,420597,420597,1,"Supervising Public Health Nurse, Bureau of School Health/ SH Nursing Services & Prof Dev",51011,02,PUBLIC HEALTH NURSE,Competitive,Health,"$ 76,737.00 - $ 76,737.00 (Annual)",Experienced (non-manager),"1601 Ave. S, Brooklyn",SH Nursing Services & Prof Dev,10/30/2019,04/12/2021
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415188&PostingSeq=1&,415188,415188,1,"Physician, Bureau of Tuberculosis Control",53040,02,CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,$     73.37 - $     78.59 (Hourly),Experienced (non-manager),"1 Court Square, Queens",TB Medical Affairs,10/07/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=408152&PostingSeq=1&,408152,408152,1,"Pediatrician, Maternal Infant and Reproductive Health",53040,02,CITY MEDICAL SPECIALIST (PART-,Non-Competitive,Health,$     73.37 - $     78.59 (Hourly),Experienced (non-manager),42-09 28th Street,"Maternal, Infant, & Repr. Hlth",08/23/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400178&PostingSeq=1&,400178,400178,1,"Assistant Commissioner, Alcohol and Drug Use Prevention, Care and Treatment",5304A,M3,AGENCY MEDICAL DIRECTOR,Non-Competitive,Health,"$ 69,940.00 - $186,555.00 (Annual)",Executive,42-09 28th Street,"Alcohol, Drug Prev & Treatment",07/10/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=400168&PostingSeq=1&,400168,400168,1,"Assistant Commissioner, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",13379,M3,EXECUTIVE PROGRAM SPECIALIST (,Exempt,Health,"$ 69,940.00 - $186,555.00 (Annual)",Experienced (non-manager),42-09 28th Street,"Alcohol, Drug Prev & Treatment",07/10/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=396157&PostingSeq=1&,396157,396157,1,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",06776,00,FAMILY PUB HEALTH NURSE (HMH),Pending Classification,Health,"$ 86,194.00 - $ 86,194.00 (Annual)",Experienced (non-manager),90-27 Parsons Boulevard,MIRH Nurse Family Partnership,05/30/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=386903&PostingSeq=1&,386903,386903,70,"Public Health Nurse, Bureau of School Health",51022,01,PUBLIC HEALTH NURSE (SCHOOL HE,Competitive,Health,$     40.79 - $     40.79 (Hourly),Experienced (non-manager),NYC - All Boroughs,SH Nursing Services & Prof Dev,03/13/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=385306&PostingSeq=1&,385306,385306,1,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",06776,00,FAMILY PUB HEALTH NURSE (HMH),Pending Classification,Health,"$ 86,194.00 - $ 86,194.00 (Annual)",Experienced (non-manager),42-09 28th Street,MIRH Nurse Family Partnership,03/02/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=383142&PostingSeq=1&,383142,383142,1,"Chief Communications Officer, Office of the Commissioner",10009,M1,ADMINISTRATIVE BUSINESS PROMOT,Competitive,Health,"$ 56,990.00 - $125,000.00 (Annual)",Manager,42-09 28th Street,Commissioners Office,02/06/2019,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=374454&PostingSeq=1&,374454,374454,1,Director of Medical and Laboratory Facilities,10035,M3,ADMINISTRATIVE SUPERVISOR OF B,Competitive,Building Operations & Maintenance,"$ 67,060.00 - $178,873.00 (Annual)",Manager,421 East 26th Street NY NY,OCME-Admin,11/14/2018,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=352367&PostingSeq=1&,352367,352367,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration",40910,01,ECONOMIST,Competitive,"Finance, Accounting, & Procurement","$ 42,288.00 - $ 59,400.00 (Annual)",Experienced (non-manager),"125 Worth Street, Nyc",Budget Administration,07/16/2018,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=348287&PostingSeq=1&,348287,348287,6,Forensic Pathology Technician,52040,02,FORENSIC MORTUARY TECHNICIAN,Competitive,Health,"$ 46,056.00 - $ 61,357.00 (Annual)",Experienced (non-manager),421 East 26th Street NY NY,OCME-Operations,06/08/2018,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=242091&PostingSeq=1&,242091,242091,8,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",51022,01,PUBLIC HEALTH NURSE (SCHOOL HE,Competitive,Health,$     32.11 - $     36.93 (Hourly),Experienced (non-manager),R E DEV FOR Preservation,SH Reproductive Health,05/31/2016,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=235309&PostingSeq=1&,235309,235309,1,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",90500,00,Not Listed,Not Listed,"Public Safety, Inspections, & Enforcement","$ 26,457.00 - $ 32,665.00 (Annual)",Experienced (non-manager),"158 E 115Th St., N.Y.",Pest Control Services,03/14/2016,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=229124&PostingSeq=1&,229124,229124,1,"HIV Program Associate, Bureau of STD Prevention and Control",51193,00,SUPERVISING PUBLIC HEALTH ADVI,Competitive,Health,"$ 48,900.00 - $ 69,042.00 (Annual)",Experienced (non-manager),42-09 28th Street,STI Administration,01/21/2016,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=209609&PostingSeq=1&,209609,209609,1,"Office Clerk AOT, Bureau of Mental Health",10251,02,CLERICAL ASSOCIATE,Competitive,Administration & Human Resources,"$ 28,965.00 - $ 43,152.00 (Annual)",Experienced (non-manager),42-09 28th Street,MH - Assisted out Treatment,08/25/2015,Until Filled
DEPT OF HEALTH/MENTAL HYGIENE,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=197941&PostingSeq=1&,197941,197941,5,Public Health Nurse (School Health),51022,01,PUBLIC HEALTH NURSE (SCHOOL HE,Competitive,Health,$     32.11 - $     36.93 (Hourly),Experienced (non-manager),R E DEV FOR Preservation,SH Reproductive Health,07/01/2015,Until Filled
DEPT. OF HOMELESS SERVICES,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441841&PostingSeq=1&,441841,441841,1,ASSISTANT COMMISSIONER OF INTAKE ASSESSMENT,10056,M4,ADMINISTRATIVE DIRECTOR OF SOC,Competitive,"Administration & Human Resources, Social Services","$125,000.00 - $149,750.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Security Administration,07/17/2020,07/30/2020
DEPT. OF HOMELESS SERVICES,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441840&PostingSeq=1&,441840,441840,1,ASSISTANT COMMISSIONER OF PROGRAM SHELTERS,10026,M4,ADMINISTRATIVE STAFF ANALYST (,Competitive,"Administration & Human Resources, Constituent Services & Community Programs, Communications & Intergovernmental Affairs, Legal Affairs, Building Operations & Maintenance, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement, Social Serv","$125,000.00 - $149,750.00 (Annual)",Executive,"33 Beaver St, New York Ny",Security Administration,07/17/2020,07/28/2020
DEPT. OF HOMELESS SERVICES,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441838&PostingSeq=1&,441838,441838,1,DEPUTY COMMISSIONER OF SHELTER SECURITY MANAGEMENT,95603,M6,ASSOCIATE COMMISSIONER FOR ADU,Non-Competitive,"Administration & Human Resources, Constituent Services & Community Programs, Communications & Intergovernmental Affairs, Building Operations & Maintenance, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement, Social Services","$175,000.00 - $187,911.00 (Annual)",Executive,"33 Beaver St, New York Ny",Security Administration,07/17/2020,08/17/2020
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441851&PostingSeq=1&,441851,441851,1,"Associate Commissioner, Strategy & Operations - Infrastructure",82984,M5,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation","$ 88,936.00 - $190,000.00 (Annual)",Executive,2 Metro Tech,IT Operations Support,07/17/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441477&PostingSeq=1&,441477,441477,1,"Associate Commissioner, Infrastructure Management",82984,M5,TELECOMMUNICATION MANAGER,Competitive,"Technology, Data & Innovation","$ 88,936.00 - $190,000.00 (Annual)",Executive,2 Metro Tech,IT Operations Support,07/08/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436911&PostingSeq=1&,436911,436911,2,Cyber Industrial Controls Analyst,13633,02,CYBER SECURITY ANALYST,Competitive,"Technology, Data & Innovation","$ 78,795.00 - $110,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,03/09/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436896&PostingSeq=1&,436896,436896,1,Cyber Senior Audit Analyst,13633,02,CYBER SECURITY ANALYST,Competitive,"Technology, Data & Innovation","$ 78,795.00 - $110,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,03/09/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=433913&PostingSeq=1&,433913,433913,1,Director of Cyber Policy,95622,00,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation","$160,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,03/03/2020,Until Filled
